 54.81   60.22   69.99   86.18   98.59   99.41   99.87   99.67   99.49   99.39   99.21   98.91   98.41   98.06   97.84   97.57   96.97   94.98   87.85   78.44   73.15   70.98   68.43   66.33   64.48  
  0.00    0.05    0.04    0.06    0.13    0.19    0.20    0.19    0.29    0.06    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  
 67.28   52.70   57.36   59.19   58.16   50.39   52.50   82.84   87.93   84.83   97.70   97.50   95.59   94.94   91.71   86.88   83.53   80.30   76.88   69.53   38.74   28.09   58.23   63.55   65.97  
 60.71   70.99   90.75   96.87   97.23   95.45   84.73   73.40   74.81   55.29   61.18   72.09   81.62   84.03   83.56   82.62   81.41   75.10   71.00   72.32   69.52   66.83   66.24   64.63   61.68  
  0.00    0.00    0.00    0.00    0.00    0.00    0.01    0.18    0.04    0.01    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  
 68.84   65.03   64.86   66.22   59.47   64.82   79.14   87.40   93.36   96.64   96.66   96.90   97.16   95.46   91.38   90.23   85.66   57.78   48.77   60.24   65.78   69.92   64.75   62.14   64.74  
 68.87   60.24   55.69   58.25   58.61   51.40   62.42   75.91   73.09   67.59   79.24   93.90   97.40   94.74   92.94   95.02   90.06   76.16   71.88   50.70   24.79   40.97   48.39   57.28   57.75  
  0.00    0.04    0.02    0.02    0.03    0.17    0.30    0.09    0.04    0.02    0.02    0.01    0.01    0.01    0.01    0.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  
 68.25   54.39   58.85   59.28   54.39   47.44   50.86   91.98   90.80   88.19   99.61   98.16   93.48   93.12   90.73   84.54   81.39   79.55   78.49   72.41   45.22   26.37   36.40   58.61   65.57  
 45.21   47.83   55.70   71.57   87.76   98.99   99.49   98.34   98.29   97.95   98.13   98.26   98.30   98.41   98.15   97.87   95.82   87.76   78.80   73.82   71.00   69.35   66.86   65.01   64.81  
